Accession;T1-02B001;T2-02B001;T3-02B001;T4-02B001;T5-02B001;T6-02B001;T7-02B001;T8-02B001;T1-02B002;T2-02B002;T3-02B002;T4-02B002;T1-02B004;T2-02B004;T3-02B004;T4-02B004;T5-02B004;T6-02B004;T7-02B004;T8-02B004;T1-02B006;T2-02B006;T3-02B006;T4-02B006;T5-02B006;T6-02B006;T7-02B006;T1-02B007;T2-02B007;T3-02B007;T4-02B007;T5-02B007;T6-02B007;T1-02B008;T2-02B008;T4-02B008;T6-02B008;T7-02B008;T1-02B009;T2-02B009;T3-02B009;T4-02B009;T5-02B009;T6-02B009;T7-02B009;T8-02B009;T1-02B010;T2-02B010;T3-02B010;T4-02B010;T5-02B010;T6-02B010;T7-02B010;T8-02B010;T1-02A001;T2-02A001;T3-02A001;T4-02A001;T5-02A001;T6-02A001;T7-02A001;T1-02A015;T2-02A015;T3-02A015;T4-02A015;T5-02A015;T6-02A015;T7-02A015;T1-02A020;T2-02A020;T3-02A020;T4-02A020;T5-02A020;T6-02A020;T7-02A020;T1-02A021;T2-02A021;T3-02A021;T4-02A021;T5-02A021;T6-02A021;T7-02A021;T2-02A022;T3-02A022;T4-02A022;T5-02A022;T6-02A022;T7-02A022;T1-02A023;T2-02A023;T3-02A023;T4-02A023;T5-02A023;T6-02A023;T1-02A025;T2-02A025;T3-02A025;T4-02A025;T5-02A025;T6-02A025;T7-02A025;T1-02A029;T2-02A029;T3-02A029;T4-02A029;T5-02A029;T6-02A029;T7-02A029
Q09028;50,9;314,1;528;92,2;232,3;63,3;169,8;45,8;25,8;160,8;231,5;188,8;5,1;145,2;279,2;2,2;3;3,6;2,1;6,3;187,1;333,8;5,6;12,9;55,1;2,8;0,2;16,1;5,7;7,6;91,1;2;19,7;15,4;49,8;22,6;19,3;6;105,1;824,5;116,4;28,8;486,1;110,3;323,7;46,3;137,3;402,1;295,2;430,2;315,3;261,9;217,1;144,2;138,482024;126,89747;119,7070573;115,0466045;104,3941411;138,9480692;84,75366178;288,7260428;50,62006764;111,6121759;430,8906426;122,2096956;54,67869222;28,52311161;261,5812918;4,677060134;64,0311804;4,008908686;39,42093541;14,58797327;11,80400891;191,2946429;53,125;57,92410714;50,66964286;57,58928571;70,64732143;103,3482143;77,81350482;13,98713826;80,8681672;10,45016077;319,7749196;17,68488746;123,7410072;89,44844125;128,8968825;78,89688249;13,54916067;24,2206235;209,4086022;193,8172043;43,9516129;20,56451613;48,65591398;197,0430108;44,62365591;112,6805778;85,07223114;166,1316212;345,5858748;149,5987159;139,3258427;25,84269663
Q09161;93,8;141;71,8;97,1;78,1;53,9;44,1;10,7;178,9;101;134,2;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;182,6470588;249,8529412;90,29411765;111,7647059;95;62,35294118;80,88235294;93,99752475;26,85643564;29,95049505;46,41089109;45,73019802;45,48267327;38,79950495;;;;;;;;213,5470527;41,67528438;81,17890383;54,91209928;49,94829369;74,87073423;51,39607032;45,82701062;31,18361153;36,34294385;10,62215478;69,1198786;79,81790592;80,15768725;48,55453351;83,44283837;34,09986859;57,81865966;23,39027595;96,60556687;52,47793618;71,35098439;44,60285132;38,15342838;48,74405974;40,19008826;172,1583653;93,61430396;128,0970626;131,1621967;109,4508301;117,8799489;83,90804598
Q10567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77,92035398;18,45132743;42,16814159;90,84070796;51,4159292;49,2920354;39,69026549;78,113879;40,39145907;77,46144721;201,1269276;93,41637011;190,1542112;63,93831554;82,79569892;73,59617682;75,14934289;55,0776583;48,74551971;74,3130227;116,0692951;34,51195219;18,22709163;50,44820717;11,50398406;36,75298805;34,06374502;71,28830705;11,87146683;27,72984231;19,93454329;17,43528712;7,468015472;76,72413793;33,89292196;48,00362976;37,25045372;35,02722323;44,23774955;37,74954628;61,97502838;69,5800227;67,13961407;56,75368899;41,20317821;64,30192963;58,68331442
Q12765;;;;;;;;;799,4;279,3;95,1;142,6;230,9;253,9;152,6;1,9;14,6;0,5;3,9;11;477,2;188,3;43,3;57,6;87,9;3,2;41;181,1;114,2;46,4;89,2;59,3;36,4;243,3;114,6;32,3;36,7;64,3;331,5;163,3;148,9;22,8;183,1;96,6;176,3;93,4;386,1;308;225,7;96,3;92,2;156,7;163;109,8;57,52949341;68,11242193;19,81263012;61,27689105;82,30395559;41,60305344;49,65301874;116,6944908;83,97328881;96,07679466;122,2871452;99,91652755;81,88647746;75,62604341;50,03663004;12,1978022;61,0989011;86,95970696;51,53846154;119,3040293;16,26373626;54,65454545;25,56363636;20,29090909;21,78181818;15,38181818;27,01818182;55,41818182;89,25619835;3,871248369;33,40582862;4,915180513;49,41278817;12,44019139;46,83406114;35,48034934;31,55021834;10,04366812;1,037117904;7,587336245;81,90709046;107,3349633;128,5248574;59,7392013;117,196414;77,09861451;93,80603097;69,00185989;105,2076875;112,5852449;115,4990701;81,58710477;101,983881;51,64290143
Q12792;225,3;114,5;115,7;31,9;178,5;727,5;1085,7;246,3;;;;;;;;;;;;;;;;;;;;;;;;;;169,6;35,7;63,6;202,1;2111;140;91,7;40,1;147,9;69,7;141,9;101,8;42,3;97,1;85,3;53,8;51,9;52,7;89,5;157,9;123,7;;;;;;;;92,35555556;42,66666667;54,57777778;56,62222222;71,73333333;55,02222222;44,26666667;88,37988827;38,10055866;65,92178771;68,15642458;42,90502793;125,698324;51,2849162;174,2712294;199,8732573;138,4030418;84,66413181;53,6121673;127,1229404;132,1926489;136,682243;109,3457944;155,8411215;158,6448598;122,8971963;183,1775701;128,4857571;445,8770615;173,9130435;114,5427286;104,3478261;222,1889055;248,6842105;168,8596491;257,8947368;196,7105263;240,1315789;166,6666667;206,1403509;344,2528736;79,31034483;75,86206897;122,4137931;147,7011494;174,4252874;166,954023
Q12794;;;;;;;;;;;;;;;;;;;;;4,1;2,6;85,1;34,6;7,4;40,8;58,1;;;;;;;1,2;3,5;51,6;3,5;7,1;;;;;;;;;54,2;133,8;126,3;109,1;176,8;49;78,3;151;;;;;;;;7,074301736;2,555807182;4,087134692;5,726302168;3,925374744;3,666558827;5,53219023;3,932885906;9,785234899;3,838926174;154,3758389;0,201342282;81,43624161;12,12080537;78,86010363;150,984456;164,9740933;147,7720207;187,0466321;173,9896373;163,3160622;;;;;;;15,25885559;7,042548732;22,97212324;17,3758122;24,77468036;10,54286313;;;;;;;;;;;;;;
Q12805;52,1;519,5;189,3;18,9;240,5;37,9;47,2;5,8;33,8;644;20,7;2228,5;;;;;;;;;72,1;294,9;2,8;14,8;271,9;10,8;14,4;14,2;181,1;239,7;119,1;132,3;55,1;8,3;24,5;93,9;17,3;60,8;53,1;516,3;379,7;9,4;428,7;93,7;25,7;20;23,4;332,8;304,7;72,8;186,2;287,6;314,3;251,7;;;;;;;;45,52845528;61,69828365;95,75429088;55,19421861;114,6341463;85,4561879;80,93947606;48,0127186;474,7217806;39,58664547;684,6581876;41,81240064;247,2972973;245,7869634;49,11804613;109,3622795;93,62279512;121,8453189;60,78697422;104,6132972;97,421981;185,0793651;216,984127;134,9206349;825,7142857;135,2380952;171,4285714;58,55130785;68,5110664;105,1307847;126,5593561;86,72032193;67,30382294;133,5120643;218,766756;156,3002681;226,8096515;205,0938338;224,1286863;231,9034853;131,4606742;185,9550562;117,1348315;121,6292135;202,247191;193,8202247;228,9325843
Q12841;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;317,2638436;170,3583062;115,7980456;169,3811075;62,21498371;122,6384365;206,1889251;252,016129;287,7016129;476,4112903;287,5;293,1451613;390,3225806;320,5645161;67,61061947;90,08849558;74,51327434;835,0442478;303,539823;187,9646018;915,9292035;130,7053942;958,7136929;164,3153527;226,7634855;265,560166;403,3195021;438,7966805;406,5891473;12,59689922;116,8604651;72,48062016;138,372093;0,387596899;137,2395833;172,9166667;65,36458333;35,9375;74,73958333;54,16666667;43,24055666;191,8489066;113,1212724;134,8906561;76,24254473;94,53280318;139,860835;297,2677596;316,1202186;151,6393443;560,3825137;665,5737705;960,3825137;293,1693989
Q12874;46,9;144,7;122,1;183,3;62,6;37;62,8;14,3;63,1;120,8;48;50,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;72,1;105,3;87;159,8;43,7;111,2;90,3;89,3;404,84375;370,9375;65,3125;130,15625;95,9375;139,84375;71,71875;279,375;63,22916667;77,91666667;125,5208333;131,5625;122,0833333;86,66666667;107,2900158;22,66244057;165,2931854;130,2694136;152,9318542;171,3153724;172,4247227;198,2517483;67,13286713;33,74125874;24,3006993;33,74125874;73,07692308;65,73426573;60,96822995;9,228441755;63,23751891;7,56429652;106,2027231;34,49319213;145,5555556;24,6031746;30,95238095;17,14285714;17,06349206;17,85714286;250;58,21917808;146,3013699;49,7260274;48,49315068;111,0958904;36,16438356;198,3951856;33,5005015;53,56068205;60,68204614;30,99297894;46,74022066;10,33099298
Q12905;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;410,4859335;441,943734;226,342711;195,3964194;196,1636829;188,7468031;167,7749361;347,1186441;178,8135593;171,3559322;247,6271186;175,4237288;181,6949153;211,8644068;347,3438956;33,64398882;175,582479;100,7455732;181,1742777;157,5023299;60,76421249;;;;;;;;;;;;;;96,13069647;138,6070507;115,4772141;84,00687876;82,54514187;89,4239037;151,9743863;76,09391676;198,6125934;111,2059765;128,601921;226,8943436;132,8708645;;;;;;;
